or,xg,yg,fa,fa_err,xm,ym,hdtbm,te,ba
      16.325000,      16.191667,      41.808333,     121.598099,       8.437963,  598987.410298, 4629182.340351,      71.000000,       4.824391,     116.773708
      41.841667,      16.208333,      41.808333,     113.657257,       7.423245,  600371.872658, 4629201.673190,     -12.100000,      -1.436598,     115.093855
      80.226547,      16.225000,      41.808333,     105.799965,       6.587006,  601756.335988, 4629221.274634,     -14.200000,      -1.344438,     107.144402
       2.721028,      16.241667,      41.808333,      99.056007,       5.801354,  603140.800290, 4629241.144689,     -16.299999,      -1.387077,     100.443085
      79.724602,      16.258333,      41.808333,      93.962219,       5.004270,  604525.265571, 4629261.283357,     -18.900000,      -1.501602,      95.463821
      16.341667,      16.275000,      41.808333,      89.704185,       4.180809,  605909.731860, 4629281.690643,     -21.150002,      -1.618025,      91.322211
      41.841667,      16.291667,      41.808333,      85.663925,       3.448295,  607294.199162, 4629302.366551,     -23.700001,      -1.770717,      87.434643
      78.279373,      16.308333,      41.808333,      82.142006,       2.963355,  608678.667482, 4629323.311084,     -28.450001,      -2.073270,      84.215276
       2.390589,      16.325000,      41.808333,      79.576851,       2.617161,  610063.136850, 4629344.524248,     -34.950001,      -2.511553,      82.088403
      78.193008,      16.341667,      41.808333,      77.726570,       2.338328,  611447.607270, 4629366.006046,     -41.299999,      -2.934528,      80.661098
      16.358333,      16.358333,      41.808333,      75.706818,       1.993945,  612832.078747, 4629387.756483,     -47.250000,      -3.307722,      79.014540
      41.841667,      16.375000,      41.808333,      73.237350,       1.610680,  614216.551312, 4629409.775563,     -53.849998,      -3.766324,      77.003674
      76.342003,      16.391667,      41.808333,      70.965698,       1.420501,  615601.024968, 4629432.063290,     -61.250000,      -4.250345,      75.216043
       1.992083,      16.408333,      41.808333,      69.442047,       1.353942,  616985.499722, 4629454.619669,     -66.800003,      -4.634636,      74.076683
      76.319641,      16.425000,      41.808333,      68.701698,       1.245918,  618369.975602, 4629477.444704,     -72.500000,      -5.025696,      73.727394
      16.375000,      16.441667,      41.808333,      68.187851,       1.155423,  619754.452614, 4629500.538400,     -76.550003,      -5.304881,      73.492732
      41.841667,      16.458333,      41.808333,      67.620262,       1.040931,  621138.930762, 4629523.900761,     -80.000000,      -5.548196,      73.168458
      74.219696,      16.475000,      41.808333,      67.259537,       0.966425,  622523.410076, 4629547.531793,     -83.550003,      -5.790906,      73.050443
       1.621661,      16.491667,      41.808333,      67.435417,       0.855445,  623907.890562, 4629571.431499,     -86.750000,      -6.014713,      73.450130
      73.773582,      16.508333,      41.808333,      67.957825,       0.805317,  625292.372223, 4629595.599885,     -89.400002,      -6.205134,      74.162959
      16.391667,      16.525000,      41.808333,      68.140640,       0.769969,  626676.855090, 4629620.036955,     -91.949997,      -6.387308,      74.527948
      41.841667,      16.541667,      41.808333,      67.514847,       0.676952,  628061.339168, 4629644.742714,     -94.149994,      -6.549318,      74.064165
      72.029167,      16.558333,      41.808333,      66.333817,       0.774477,  629445.824461, 4629669.717167,     -96.400002,      -6.704617,      73.038433
       1.410405,      16.575000,      41.808333,      65.328400,       0.806686,  630830.310999, 4629694.960320,     -98.250000,      -6.842303,      72.170703
      71.293022,      16.591667,      41.808333,      65.082191,       0.799706,  632214.798788, 4629720.472177,     -99.800003,      -6.957467,      72.039658
      16.408333,      16.608333,      41.808333,      65.423096,       0.800000,  633599.287830, 4629746.252742,    -102.299995,      -7.134089,      72.557185
      41.841667,      16.625000,      41.808333,      65.630112,       0.800227,  634983.778158, 4629772.302022,    -105.300003,      -7.356747,      72.986859
      70.244576,      16.641667,      41.808333,      65.294830,       0.795060,  636368.269775, 4629798.620022,    -106.500000,      -7.493891,      72.788721
       1.322021,      16.658333,      41.808333,      64.696472,       0.812453,  637752.762686, 4629825.206746,    -110.900002,      -7.793509,      72.489981
      69.494919,      16.675000,      41.808333,      64.287491,       0.992473,  639137.256921, 4629852.062200,    -110.800003,      -7.919329,      72.206820
      16.425000,      16.691667,      41.808333,      64.455017,       1.003477,  640521.752485, 4629879.186390,    -112.699997,      -8.043892,      72.498909
      41.841667,      16.708333,      41.808333,      65.028984,       0.999781,  641906.249383, 4629906.579321,    -116.599998,      -8.295073,      73.324057
      69.154961,      16.725000,      41.808333,      65.494499,       1.001940,  643290.747644, 4629934.240997,    -133.199997,      -9.353875,      74.848374
       1.178542,      16.741667,      41.808333,      65.354736,       0.995597,  644675.247273, 4629962.171426,    -138.100006,      -9.738279,      75.093016
      68.439705,      16.758333,      41.808333,      64.966316,       0.803451,  646059.748276, 4629990.370611,    -142.250000,     -10.067775,      75.034091
      16.441667,      16.775000,      41.808333,      64.807716,       0.799158,  647444.250681, 4630018.838560,    -146.199997,     -10.407189,      75.214906
      41.841667,      16.791667,      41.808333,      65.365128,       0.800012,  648828.754493, 4630047.575277,    -154.399994,     -10.973038,      76.338165
      68.482376,      16.808333,      41.808333,      66.000481,       0.800000,  650213.259718, 4630076.580769,    -164.099991,     -11.734336,      77.734817
       1.029914,      16.825000,      41.808333,      66.436752,       0.800005,  651597.766385, 4630105.855040,    -176.199997,     -12.599612,      79.036365
      67.923401,      16.841667,      41.808333,      65.880402,       0.799948,  652982.274499, 4630135.398098,    -188.350006,     -13.650417,      79.530819
      16.458333,      15.858333,      41.791667,     153.043137,      48.000286,  571316.822581, 4627001.645501,     695.000000,      72.596210,      80.446926
      41.841667,      15.875000,      41.791667,     160.367096,      47.917015,  572701.627387, 4627015.606034,     630.000000,      65.234334,      95.132762
      67.995010,      15.891667,      41.791667,     168.820724,      46.450840,  574086.432893, 4627029.835089,     713.000000,      75.088929,      93.731796
       0.950036,      15.908333,      41.791667,     177.966751,      44.946671,  575471.239104, 4627044.332668,     530.000000,      55.650147,     122.316604
      67.688660,      15.925000,      41.791667,     186.714569,      43.464428,  576856.046049, 4627059.098774,     563.000000,      60.735822,     125.978747
      16.475000,      15.941667,      41.791667,     194.368057,      41.893723,  578240.853734, 4627074.133410,     611.000000,      65.768851,     128.599206
      41.841667,      15.958333,      41.791667,     200.334869,      40.379742,  579625.662163, 4627089.436579,     711.000000,      76.991103,     123.343767
      67.882996,      15.975000,      41.791667,     203.988205,      37.009056,  581010.471367, 4627105.008285,     687.000000,      74.638198,     129.350007
       0.826975,      15.991667,      41.791667,     205.056747,      33.772919,  582395.281350, 4627120.848529,     772.000000,      82.983233,     122.073515
      67.881905,      16.008333,      41.791667,     203.449280,      30.447941,  583780.092117, 4627136.957316,     773.000000,      83.034441,     120.414839
      16.491667,      16.025000,      41.791667,     199.521561,      27.196266,  585164.903699, 4627153.334648,     775.000000,      83.478682,     116.042879
      41.841667,      16.041667,      41.791667,     193.301208,      23.886093,  586549.716101, 4627169.980530,     796.000000,      84.763294,     108.537915
      68.307663,      16.058333,      41.791667,     185.554428,      21.877518,  587934.529326, 4627186.894963,     802.000000,      85.425716,     100.128712
       0.789558,      16.075000,      41.791667,     176.747803,      19.907869,  589319.343406, 4627204.077952,     724.000000,      77.136850,      99.610952
      68.470398,      16.091667,      41.791667,     167.511154,      17.797194,  590704.158345, 4627221.529500,     662.000000,      70.249230,      97.261924
      16.508333,      16.108333,      41.791667,     158.317123,      15.754009,  592088.974148, 4627239.249610,     594.000000,      61.216298,      97.100825
